application_day,application_month,education,gender,age,home_address,income,first_time,default
1,1,0,0,27,2,32000,4,0
1,1,1,1,26,2,50000,1,0
1,1,0,0,35,1,20000,3,0
1,1,1,1,35,2,80000,3,0
1,1,2,1,24,2,27000,2,0
1,1,0,0,35,2,35000,3,0
1,1,2,1,35,1,20000,3,0
1,1,0,0,55,2,8000,3,1
1,1,1,0,34,1,30000,4,0
1,1,1,1,42,1,60000,3,0
1,1,0,0,45,1,22000,2,0
1,1,0,0,67,1,20000,3,0
1,1,0,1,21,2,30000,1,1
1,1,0,1,36,1,90000,4,0
1,1,1,1,29,1,30000,2,0
1,1,0,1,62,2,35000,3,0
1,1,0,0,55,2,90000,2,0
1,1,1,0,25,1,60000,2,0
1,1,0,1,43,2,20000,4,0
1,1,0,0,47,1,30000,2,0
1,1,0,0,55,2,15000,2,0
1,1,0,1,47,1,25000,4,0
1,1,0,0,58,2,32000,3,1
1,1,2,1,26,2,17000,1,0
1,1,1,1,40,2,37000,3,1
1,1,2,0,26,1,32000,3,0
1,1,0,1,61,2,8000,3,1
1,1,1,1,45,1,20000,3,0
1,1,1,1,35,1,25000,4,0
1,1,0,0,43,2,40000,4,0
1,1,0,1,43,1,22000,3,0
1,1,1,1,46,2,65000,3,0
1,1,0,1,62,1,18000,3,0
1,1,0,1,39,1,7000,1,0
1,1,1,0,35,1,50000,3,0
1,1,1,0,21,2,45000,4,0
1,1,1,0,30,2,150000,3,0
1,1,0,1,38,2,35000,2,0
1,1,2,1,27,2,25000,2,1
1,1,1,0,31,1,30000,3,0
1,1,1,1,26,1,17000,1,0
1,1,2,1,47,2,35000,4,0
1,1,0,1,41,2,16000,1,0
1,1,1,1,40,3,25000,3,1
1,1,1,0,31,2,50000,4,0
1,1,0,0,39,2,43000,3,0
1,1,1,1,52,1,38000,3,0
1,1,0,0,39,1,18000,1,0
1,1,0,0,37,2,50000,4,0
1,1,0,0,26,1,27000,3,1
1,1,0,1,35,2,30000,3,0
1,1,0,0,47,2,45000,4,0
1,1,0,1,54,2,60000,2,0
1,1,2,1,43,2,30000,3,0
1,1,1,0,30,2,160000,4,0
1,1,2,0,25,2,50000,3,0
2,1,2,1,29,1,60000,3,0
2,1,1,0,30,2,156000,4,0
2,1,0,1,35,2,22000,4,0
2,1,1,0,33,2,15000,1,0
2,1,2,0,23,2,50000,4,0
2,1,0,0,30,2,90000,4,0
2,1,0,0,30,2,45000,4,1
2,1,0,1,48,2,18000,1,0
2,1,0,0,37,1,50000,3,0
2,1,1,1,29,1,25000,4,0
2,1,1,1,33,2,200000,4,0
2,1,0,0,28,3,40000,3,0
2,1,0,1,28,1,25000,3,0
2,1,0,0,62,2,300000,4,0
2,1,0,1,38,2,15000,1,0
2,1,1,0,31,2,290000,3,0
2,1,1,1,44,1,35000,3,0
2,1,1,0,31,3,50000,3,0
2,1,0,1,56,2,8300,3,0
2,1,1,1,36,1,45000,3,0
2,1,0,1,29,1,14000,3,0
2,1,0,1,46,1,25000,3,1
2,1,2,1,50,1,20000,1,0
2,1,0,0,23,2,22000,3,0
2,1,0,0,45,2,50000,3,0
2,1,0,1,27,1,18000,3,0
2,1,1,1,35,2,90000,3,0
2,1,1,1,25,1,65000,3,0
2,1,1,1,64,2,100000,3,0
2,1,1,0,57,1,30000,3,0
2,1,1,0,43,1,90000,3,0
2,1,0,0,25,2,35000,2,1
2,1,1,1,37,1,39000,1,0
2,1,2,0,40,1,50000,1,0
2,1,2,0,34,2,45000,2,0
2,1,1,1,29,1,30000,4,0
2,1,0,1,28,2,40000,3,0
2,1,0,1,25,2,2400,3,0
2,1,0,0,30,1,20000,1,1
2,1,3,0,33,1,35000,2,0
2,1,1,1,29,1,15000,2,0
2,1,1,0,32,2,40000,1,0
2,1,0,1,38,2,45000,1,1
2,1,0,0,24,2,30000,1,0
2,1,3,1,31,1,120000,4,0
2,1,0,1,53,2,50000,3,0
2,1,0,1,51,2,17000,1,0
2,1,1,0,42,2,80000,2,1
2,1,1,1,34,2,30000,3,0
2,1,0,1,42,1,21000,3,1
2,1,1,1,50,1,50000,2,0
2,1,0,0,45,2,22000,3,0
2,1,0,1,27,2,250000,3,0
2,1,0,0,38,2,65000,3,1
2,1,0,0,35,2,150000,3,0
2,1,0,1,44,2,35000,4,0
2,1,0,1,39,1,25000,3,0
2,1,1,1,43,3,30000,3,0
2,1,1,1,34,1,50000,2,0
2,1,1,0,46,2,80000,1,0
2,1,1,0,40,1,30000,2,0
2,1,1,0,27,1,20000,2,0
2,1,0,1,28,1,40000,3,0
2,1,1,1,34,2,50000,4,0
2,1,1,1,60,1,8000,3,0
2,1,0,1,46,2,115000,3,0
2,1,0,1,50,2,35000,1,0
2,1,0,0,51,2,55000,4,0
2,1,0,1,25,1,7000,3,1
2,1,0,0,25,1,15000,1,0
2,1,0,0,25,2,55000,2,0
2,1,0,0,26,1,40000,3,0
